"Date","Price","Open","High","Low","Vol.","Change %"
"11/09/2021","102.08","102.18","102.58","101.84","50.77K","-0.37%"
"11/08/2021","102.46","102.42","102.70","102.30","47.00K","-0.14%"
"11/05/2021","102.60","102.16","103.58","102.16","64.99K","0.43%"
"11/04/2021","102.16","102.10","102.44","102.00","47.01K","0.99%"
"11/03/2021","101.16","101.18","101.30","101.04","43.81K","-0.06%"
"11/02/2021","101.22","100.76","101.26","100.74","56.56K","0.20%"
"11/01/2021","101.02","101.08","101.30","100.86","79.92K","0.32%"
"10/29/2021","100.70","99.50","100.74","99.42","39.80K","0.77%"
"10/28/2021","99.93","99.96","100.28","99.69","49.36K","-0.35%"
"10/27/2021","100.28","100.48","100.52","100.10","53.25K","-0.52%"
"10/26/2021","100.80","100.64","101.00","100.52","126.21K","0.62%"
"10/25/2021","100.18","99.75","100.20","99.59","51.45K","0.64%"
"10/22/2021","99.54","99.70","100.12","99.54","32.12K","0.17%"
"10/21/2021","99.37","99.18","99.64","99.14","42.11K","-0.30%"
"10/20/2021","99.67","99.26","99.76","99.25","66.80K","0.32%"
"10/19/2021","99.35","98.97","99.37","98.85","26.17K","0.53%"
"10/18/2021","98.83","98.69","98.91","98.24","35.52K","-0.03%"
"10/15/2021","98.86","98.44","98.91","98.28","55.73K","0.82%"
"10/14/2021","98.06","97.33","98.07","97.17","26.83K","1.51%"
"10/13/2021","96.60","96.41","96.97","96.29","51.88K","-0.25%"
"10/12/2021","96.84","95.98","97.05","95.90","37.15K","-0.64%"
"10/11/2021","97.46","96.93","97.54","96.78","41.78K","0.28%"
"10/08/2021","97.19","97.40","97.50","97.03","37.87K","-0.41%"
"10/07/2021","97.59","96.89","97.72","96.71","36.57K","2.24%"
"10/06/2021","95.45","95.38","95.80","94.70","39.16K","-0.79%"
"10/05/2021","96.21","95.17","96.33","95.02","82.42K","1.76%"
"10/04/2021","94.55","95.61","95.82","94.49","57.07K","-1.25%"
"10/01/2021","95.75","95.50","96.00","94.70","101.72K","-0.66%"
"09/30/2021","96.39","96.94","97.00","96.25","76.54K","0.02%"
"09/29/2021","96.37","96.07","96.73","96.00","47.54K","0.67%"
"09/28/2021","95.73","97.18","97.48","95.67","51.88K","-1.80%"
"09/27/2021","97.48","98.01","98.03","97.22","35.36K","0.25%"
"09/24/2021","97.24","97.25","97.53","96.95","22.52K","-0.31%"
"09/23/2021","97.54","97.21","97.84","96.98","53.41K","0.81%"
"09/22/2021","96.76","96.38","96.76","96.08","40.55K","0.61%"
"09/21/2021","96.17","96.13","96.52","95.56","57.08K","0.80%"
"09/20/2021","95.41","96.21","96.31","95.13","111.23K","-1.81%"
"09/17/2021","97.17","97.98","98.00","97.15","48.24K","-0.32%"
"09/16/2021","97.48","97.60","97.92","97.32","35.18K","0.36%"
"09/15/2021","97.13","97.36","97.41","96.95","65.30K","-0.32%"
"09/14/2021","97.44","97.60","97.82","97.20","43.94K","-0.17%"
"09/13/2021","97.61","97.98","98.27","97.50","54.98K","-0.11%"
"09/10/2021","97.72","98.13","98.42","97.58","39.33K","-0.41%"
"09/09/2021","98.12","97.52","98.49","97.45","36.26K","0.11%"
"09/08/2021","98.01","98.18","98.55","97.84","40.83K","-0.42%"
"09/07/2021","98.42","98.67","98.69","98.30","74.52K","-0.46%"
"09/06/2021","98.87","98.52","98.90","98.50","72.19K","0.67%"
"09/03/2021","98.21","98.25","98.43","97.85","60.37K","-0.14%"
"09/02/2021","98.35","98.11","98.41","98.06","34.04K","0.16%"
"09/01/2021","98.19","98.51","98.63","98.00","98.82K","0.04%"
"08/31/2021","98.15","98.22","98.28","97.65","52.58K","0.05%"
"08/30/2021","98.10","97.73","98.10","97.71","40.74K","0.40%"
"08/27/2021","97.71","97.24","97.72","97.20","42.72K","0.42%"
"08/26/2021","97.30","97.37","97.61","97.14","36.05K","-0.45%"
"08/25/2021","97.74","97.77","97.82","97.56","30.16K","0.07%"
"08/24/2021","97.67","97.65","97.75","97.32","25.79K","0.40%"
"08/23/2021","97.28","96.97","97.33","96.63","37.54K","0.72%"
"08/20/2021","96.58","95.88","96.70","95.45","70.23K","0.58%"
"08/19/2021","96.02","95.77","96.26","95.21","78.81K","-1.21%"
"08/18/2021","97.20","97.31","97.42","97.01","34.68K","0.03%"
"08/17/2021","97.17","96.85","97.29","96.68","38.19K","0.18%"
"08/16/2021","97.00","97.00","97.35","96.68","87.76K","-0.39%"
"08/13/2021","97.38","97.68","97.79","97.31","37.32K","-0.18%"
"08/12/2021","97.56","97.47","97.66","97.30","38.77K","0.09%"
"08/11/2021","97.47","97.55","97.83","97.35","46.58K","0.04%"
"08/10/2021","97.43","97.27","97.66","97.22","57.44K","0.32%"
"08/09/2021","97.12","96.90","97.12","96.82","41.79K","0.22%"
"08/06/2021","96.91","96.56","97.02","96.43","28.11K","0.30%"
"08/05/2021","96.62","96.13","96.62","96.07","72.88K","0.57%"
"08/04/2021","96.07","96.07","96.29","95.67","61.13K","0.47%"
"08/03/2021","95.62","95.62","95.88","95.14","37.27K","-0.18%"
"08/02/2021","95.79","95.89","96.00","95.52","61.76K","0.45%"
"07/30/2021","95.36","94.96","95.61","94.78","40.95K","-0.53%"
"07/29/2021","95.87","95.77","95.92","95.60","21.54K","0.09%"
"07/28/2021","95.78","95.34","95.84","95.27","40.58K","0.98%"
"07/27/2021","94.85","95.71","96.00","94.85","45.45K","-1.21%"
"07/26/2021","96.01","95.91","96.03","95.52","63.28K","-0.43%"
"07/23/2021","96.42","96.06","96.42","95.98","43.00K","0.78%"
"07/22/2021","95.67","95.68","95.82","95.25","17.64K","0.54%"
"07/21/2021","95.16","94.83","95.22","94.70","31.65K","0.60%"
"07/20/2021","94.59","94.04","94.72","93.59","96.05K","1.26%"
"07/19/2021","93.41","94.81","94.81","92.85","95.33K","-1.94%"
"07/16/2021","95.26","95.57","95.82","95.10","38.89K","-0.41%"
"07/15/2021","95.65","95.79","95.99","95.36","76.19K","-0.20%"
